date | value
2011-01-03 | -1
2011-01-03 | +1
2011-01-03 | 1abc
2011-01-03 | abc
2011-01-03 |
2011-01-03 | 1.
2011-01-03 | .5
2011-01-03 | 0005
2011-01-03 | 5
2011-01-04 | 5
2009-01-02 | 5
2008-12-31 | 5

date | value
 | 3
| 3
2011-01-03 | 
2011-01-03 |
  2011-01-03   |   1  
2011-01-03 | 1 | 3 |

2011-01-03  | 1
2011-01-03 |  1


2011-01-53 | 1
201145014553 | 1
2011/01/53 | 1
2011401753 | 1


2011-51-09 | 1
2042-01-09 | 1
2042-01-09 | abc

2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
1987-01-11 | 1
